"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-02-14","15.21"," 1355","0.01",,"25","1","  330","  320","25.9","36.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-02-15","8.95"," 0302","0.00",,"8","-8","  330","  330","19.9","27.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-02-16","3.36"," 1400","0.00",,"7","-9","  140","  140","8.9","13.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-02-17","7.61"," 1936","0.00",,"22","2","  230","  220","16.1","19.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-02-18","9.40"," 1605","0.00",,"20","5","  300","  300","18.1","25.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-02-19","9.40"," 1149","0.00",,"7","-3","  310","  290","17.0","27.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-02-20","8.95"," 2133","0.00",,"15","-10","  180","  170","18.1","23.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-02-21","3.80"," 0011","0.00",,"25","14","  190","  190","15.0","18.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-02-22","8.28"," 1248","0.00",,"31","9","  360","  310","18.1","28.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-02-23","8.50"," 0027","0.00",,"14","-3","  360","  350","17.0","23.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-02-24","16.11"," 1346","0.00",,"24","4","  230","  220","30.0","38.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-02-25","6.49"," 0018","0.00",,"25","10","  240","  230","16.1","21.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-02-26","7.61"," 1438","0.00",,"18","8","   10","  360","14.1","17.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-02-27","3.36"," 1350","0.00",,"21","-3","  240","  280","13.0","18.1","    1",,,"    1"
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-02-28","6.04"," 1437","0.00",,"21","0","  180","  200","13.0","16.1",,,,
